Nationalité,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belgique,  841,  776,  858,  838,  851, 1 141, 1 279, 1 098, 1 145, 1 155, 1 235, 1 418, 1 367, 1 381, 1 357, 1 344
Bulgarie,  398,  370,  364,  368,  369,  336,  372,  536,  621,  934, 1 070, 1 080, 1 027,  999, 1 801, 1 756
Tchéquie,  420,  401,  344,  391,  388,  601,  724,  561,  549,  916,  793,  733, 1 279, 1 170, 1 052, 1 015
Danemark,  390,  419,  375,  455,  456,  572,  596,  535,  596,  536,  525,  552,  523,  493,  459,  412
Allemagne, 15 574, 15 133, 18 221, 20 460, 24 899, 40 941, 46 296, 33 876, 30 719, 29 375, 27 472, 26 401, 24 720, 22 896, 21 598, 20 426
Estonie,  39,  47,  49,  42,  37,  77,  91,  85,  99,  154,  135,  105,  186,  115,  126,  111
Irlande,  278,  244,  300,  294,  303,  413,  484,  467,  565,  543,  548,  587,  568,  555,  482,  502
Grèce,  316,  341,  351,  352,  438,  614,  659,  713,  768, 1 136, 1 672, 1 685, 1 464, 1 596, 1 679, 1 744
Espagne, 1 833, 1 819, 1 752, 1 639, 1 669, 2 139, 2 492, 2 622, 3 384, 4 689, 6 852, 9 104, 8 058, 7 281, 6 104, 5 498
France, 6 936, 6 865, 6 936, 7 114, 7 867, 11 603, 13 852, 11 137, 11 726, 11 254, 11 571, 13 637, 14 525, 15 051, 14 281, 14 516
Croatie,  822,  704,  622,  551,  550,  570,  554,  549,  442,  465,  499,  453,  507,  529,  535,  652
Italie, 5 961, 5 820, 5 859, 5 622, 5 689, 8 540, 10 025, 8 668, 10 226, 10 651, 14 098, 17 662, 19 006, 18 894, 18 927, 16 471
Chypre,  16,  19,  21,  37,  16,  37,  27,  53,  34,  48,  61,  90,  81,  104,  96,  118
Lettonie,  153,  121,  124,  111,  137,  210,  175,  218,  226,  340,  310,  258,  324,  274,  289,  289
Lituanie,  89,  93,  99,  83,  111,  130,  143,  158,  190,  299,  271,  248,  323,  319,  379,  411
Luxembourg,  135,  105,  110,  104,  116,  129,  189,  152,  211,  183,  166,  170,  185,  197,  187,  157
Hongrie,  601,  422,  391,  359,  485,  751, 1 073, 1 140, 1 194, 2 108, 2 453, 2 466, 4 219, 3 995, 3 577, 3 445
Malte,  19,  22,  14,  11,  21,  27,  30,  30,  33,  23,  31,  25,  18,  27,  49,  59
Pays-Bas, 1 209, 1 100, 1 137, 1 276, 1 275, 1 866, 1 997, 1 532, 1 684, 1 484, 1 483, 1 792, 1 734, 1 613, 1 737, 1 499
Autriche, 2 629, 2 046, 2 273, 1 957, 2 031, 2 859, 3 210, 2 792, 2 605, 2 778, 3 004, 2 907, 3 093, 3 229, 3 044, 2 913
Pologne,  701,  653,  698,  861, 1 317, 2 071, 2 481, 2 177, 2 088, 3 283, 3 372, 3 126, 5 042, 5 070, 4 218, 4 359
Portugal, 9 005, 12 228, 13 539, 12 138, 12 441, 15 351, 17 657, 13 601, 12 720, 15 020, 18 892, 20 039, 15 221, 12 325, 10 123, 9 257
Roumanie,  611,  661,  665,  605,  608,  710,  818, 1 040, 1 421, 1 701, 2 084, 2 627, 2 618, 2 085, 2 973, 3 034
Slovénie,  80,  54,  77,  81,  81,  147,  195,  170,  163,  385,  477,  581, 1 180, 1 088,  922,  854
Slovaquie,  517,  451,  477,  450,  636,  971, 1 224, 1 133, 1 006, 1 777, 1 642, 1 481, 2 727, 2 654, 2 355, 2 141
Finlande,  382,  284,  302,  335,  340,  474,  593,  572,  523,  535,  418,  508,  525,  484,  483,  456
Suède,  828,  712,  727,  755,  830, 1 127, 1 120, 1 027, 1 015,  943,  821, 1 088,  918,  966,  862,  862
Royaume-Uni, 3 248, 2 980, 3 069, 3 189, 3 569, 5 217, 5 773, 5 045, 5 697, 5 523, 4 664, 4 922, 4 655, 4 312, 3 902, 4 119
Islande,  38,  23,  50,  33,  35,  32,  39,  72,  63,  137,  81,  90,  75,  63,  83,  58
Liechtenstein,  160,  134,  143,  146,  134,  136,  116,  116,  117,  89,  106,  125,  86,  124,  117,  89
Norvège,  281,  235,  241,  239,  228,  267,  279,  265,  254,  284,  219,  291,  239,  279,  264,  243
Serbie-et-Monténégro 8), 7 382, 6 272, 5 645, 4 894, 4 789, 5 382, 5 107, 4 695,*,*,*,*,*,*,*,*
Serbie 9),*,*,*,*,*,*,*,*, 2 329, 1 455, 1 724, 1 646, 1 467, 1 503, 1 547, 1 401
Monténégro,*,*,*,*,*,*,*,*,  57,  75,  82,  100,  62,  78,  93,  55
Kosovo,*,*,*,*,*,*,*,*, 2 402, 2 322, 2 497, 2 677, 2 422, 2 566, 2 536, 2 487
Bosnie et Herzégovine, 1 267, 1 073, 1 176, 1 024, 1 006,  933,  994,  740,  752,  544,  624,  669,  651,  674,  640,  600
Macédoine, 2 058, 1 602, 1 386, 1 252, 1 160, 1 240, 1 228, 1 238, 1 159, 1 266, 1 489, 1 508, 1 427, 1 599, 1 776, 1 820
Turquie, 3 063, 2 806, 2 467, 2 227, 2 111, 2 089, 2 207, 2 251, 2 051, 1 772, 1 872, 1 845, 1 643, 1 627, 1 638, 1 819
